Spółka,Kwartały,Wartość księgowa,Cena/WK,Zysk na akcję,Cena/Zysk,Przychód,Cena/Przychód,Zysk operacyjny,Cena/Zysk operacyjny,Wartość księgowa Grahama,Cena/Wartość księgowa Grahama,Wartość przedsiębiorstwa,Wartość przedsiębiorstwa/Przychody,Wartość przedsiębiorstwa/EBIT,Wartość przedsiębiorstwa/EBITDA,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji,Zadłużenie ogólne,Zadłużenie kapitału własnego,Zadłużenie długoterminowe,Zadłużenie środków trwałych,Pokrycie aktywów trwałych kapitałami stałymi,Trwałość struktury finansowania,Zastosowanie kapitału obcego,Wskaźnik ogólnej sytuacji finansowej,Zadłużenie netto,Zadłużenie netto / EBITDA,Zadłużenie finansowe netto,Zadłużenie finansowe netto / EBITDA,I stopień pokrycia,II stopień pokrycia,Płynność gotówkowa,Płynność szybka,Płynność bieżąca,Płynność podwyższona,Pokrycie zobowiązań należnościami,Udział kapitału pracującego w aktywach,Pokrycie kosztów kapitałem obrotowym,Rotacja należności,Cykl należności,Cykl zobowiązań,Rotacja zapasów,Cykl zapasów,Rotacja majątku obrotowego,Rotacja majątku trwałego,Rotacja majątku ogółem,Cykl operacyjny,Cykl konwersji gotówki,Data
ETX,2025/Q1,"0,38","9,22","0,24","14,25","6,65","0,52","0,31","10,99","-0,52",,"1,42","0,21","2,55","4,52","64,68%","6,80%","4,74%","3,65%","-0,01%","4,03%","92,22%","8,82%","26,20%","21,60%","0,89","8,51","0,34","3,65","0,56","0,14","1,19","0,50",4 610 000,"1,65",-10 188 000,"-3,65","0,42","0,56","0,74","0,87","0,87","0,74","0,12","-0,11","-1,43","22,70",16,152,,,"2,55","8,01","1,94",,,2025-05-01
EUC,2025/Q1,"-14,44",,"2,10","0,94","2,51","0,78","2,17","0,91","-15,00",,"6,19","2,46","2,71","2,85","-14,54%","102,13%","86,45%","83,51%","-18,19%","86,17%","3,39%","105,72%","-5 224,89%","-91,20%","8,02","-1,14","-0,65","0,06","-8,90","-2,43","11,03","-284,19",92 067 000,"7,20",23 607 000,"1,85","-25,77","-8,90","0,00","0,21","0,21","0,01","0,19","-2,70","-2,39","1,57",233,1 938,,,"1,38","3,64","1,00",,,2025-05-01
EUR,2025/Q1,"4,54","1,94","-0,18",,"226,28","0,04","1,99","4,43","-30,01",,"26,43","0,12","4,02","13,29","-4,05%","-0,30%","0,88%","-0,08%","0,68%","0,09%","13,47%","3,20%","-2,50%","45,31%","0,91","12,49","3,57","1,08","0,59","0,33","2,12","0,27",7 387 240 000,"8,07",2 453 184 000,"2,68","0,13","0,59","0,09","0,37","0,66","0,09","0,22","-0,22","-0,07","22,41",16,68,"15,10",24,"8,32","6,19","3,55",40,-28,2025-05-01
EXA,2025/Q1,"2,23","1,54","0,36","9,39","0,57","6,03","0,31","11,11","2,00","1,71","1,49","2,63","4,71","4,84","16,35%","16,27%","54,30%","64,22%","54,22%","70,76%",,"13,76%","98,76%",,"0,00","0,00",,,,,"0,00","0,02",-4 619 000,"-6,08",-4 631 000,"-6,09","9,36","9,36","385,92","398,92","400,00","385,92","13,92","0,89","7,95","9,86",37,3,,,"0,29","5,84","0,27",,,2025-05-01
EXC,2025/Q1,"0,20","1,22","0,05","5,28","0,50","0,49","0,06","3,83","0,09","2,67","0,23","0,46","3,13","3,58","23,08%","16,14%","12,73%","9,23%","13,73%","11,96%","23,72%","22,25%","65,97%","68,10%","0,21","0,31","0,02","22,61","1,57","0,71","0,40","0,60",6 850 000,"0,60",-2 534 000,"-0,22","1,50","1,53","0,28","1,40","2,68","0,31","1,16","0,33","0,26","7,54",48,40,"5,92",62,"3,27","4,05","1,81",110,70,2025-05-01
EXM,2025/Q1,"29,48","5,09","1,83","82,02","164,05","0,91","1,92","78,19","36,97","4,06","114,65","0,70","59,53","59,76","6,20%","2,73%","1,17%","1,11%","1,32%","1,19%",,"2,87%","13,83%","0,45%","0,39","0,89",,,,,"0,42","3,41",-1 211 000,"-4,69",-4 736 000,"-18,36","8,21","8,21","1,34","1,95","2,41","1,34","0,88","0,55","0,23","5,57",66,56,"747,79",0,"2,79","43,03","2,62",,,2025-05-01
FEE,2025/Q1,"12,03","0,85","-0,10",,"9,27","1,11","-0,04",,"5,61","1,83","10,47","1,13","18,40","-284,53","-0,80%","-0,59%","-0,40%","-1,04%","-0,07%","-1,61%","10,07%","-0,22%","-8,80%","188,79%","0,27","0,37","0,06","4,99","1,99","0,77","0,45","0,83",39 823 000,"7,34",2 106 000,"0,39","1,87","1,99","0,09","1,07","2,67","0,09","0,98","0,38","0,82","3,41",107,119,"1,33",275,"1,00","1,43","0,59",382,263,2025-05-01
FEM,2025/Q1,"0,10","8,48","0,11","7,94","0,22","3,99","0,10","8,91","0,03","26,27","0,69","3,19","6,21","7,14","106,75%","36,99%","44,77%","50,25%","-6,93%","51,62%",,"32,95%","-6,28%","-1,26%","0,64","1,84",,,,,"0,85","1,18",419 000,"0,14",-4 730 000,"-1,55","1,38","1,38","0,92","1,15","1,18","0,92","0,25","0,11","0,15","4,93",74,710,,,"0,54","2,92","0,45",,,2025-05-01
FFI,2023/Q3,"0,26","4,47","5,89","0,20","1,06","1,11","5,89","0,20","0,26","4,47","0,98","0,92","0,17","0,17","2 230,00%","439,87%","556,24%","556,24%","-107,18%","556,24%","100,00%","439,87%","93,76%",,"0,80","4,07","1,59",,,"0,51","0,80",,-119 000,"-0,02",-252 000,"-0,03",,,"0,31","2,04","2,04","1,79","0,26","0,51",,"1,53",238,3 777,,,"0,58",,"0,58",,,2023-11-01
FHD,2025/Q1,"1,60","2,98","-0,00",,"1,12","4,24","0,04","112,00","-1,57",,"6,31","5,62","116,08","148,52","-0,04%","-0,02%","3,79%","-0,06%","2,56%","-0,05%",,"1,27%","0,09%",,"0,51","1,08","0,93","0,01","0,97","0,92","11,80","5,86",25 342 000,"29,13",24 833 000,"28,54","0,50","0,96","0,58","0,44","0,62","0,58","0,02","-0,03","-0,08","196,26",2,158,,,"5,92","0,34","0,32",,,2025-05-01
FIG,2024/Q3,"2,46","0,20","-0,02",,"0,11","4,55","-0,04",,"-0,22",,"0,79","7,34","-22,29","-19,06","-0,96%","-0,84%","-38,50%","-22,10%","-37,89%","-21,41%","9,17%","-1,46%","38,66%",,"0,13","0,15","0,07","2,00","0,98","0,93","2,60","2,38",76 104 000,"-10,02",64 303 000,"-8,47","0,92","0,98","0,04","0,75","0,75","0,05","0,69","-0,02","-0,51","0,98",371,662,,,"0,91","0,04","0,04",,,2024-11-01
FKD,2024/Q1,"-1,16",,"-0,17",,"0,17","0,29","-0,06",,"-1,47",,"1,40","8,13","-32,22","-25,31","14,48%","-27,69%","-32,11%","-96,76%","-36,57%","-96,73%","-34,41%","-9,19%","-1 744,83%","12,61%","2,91","-1,52","-0,10","2,14","-3,24","-1,72","6,19","-22,35",58 831 000,"-37,16",49 191 000,"-31,07","-3,61","-3,24","0,00","0,16","0,17","0,08","0,07","-2,25","-6,15","1,81",202,3 272,"11,22",33,"0,47","0,53","0,25",235,-3 037,2024-05-01
FLG,2024/Q1,"0,56","0,51","0,00","135,90","0,01","23,58","0,00","87,94","0,56","0,51","0,28","23,56","87,88","87,88","0,37%","0,37%","26,81%","17,35%","7,57%","17,35%",,"0,57%",,,"0,00","0,00",,,,,"0,00","5,33",-14 258 000,"-167,74",-5 000,"-0,06","4 926,67","4 926,67","0,31","897,63","924,56","892,13","2,88","1,00","50,43","3,55",103,75,"0,68",537,"0,02","105,67","0,02",640,565,2024-05-01
FON,2024/Q3,"0,40","2,99","0,03","43,03","0,04","31,98","0,03","34,67","-0,09",,"1,29","34,36","37,25","37,25","6,94%","4,91%","92,23%","74,32%","92,23%","75,39%","100,00%","6,09%","-31,27%",,"0,16","0,22",,,,,"26,11","18,57",5 631 529,"2,51",5 786 334,"2,58","0,71","0,71",,"-0,83","0,04","0,03","0,01","-0,15",,"54,02",7,1 243,,,"14,25","0,06","0,06",,,2024-11-01
FOR,2025/Q1,"1,83","2,28","0,28","14,73","1,14","3,66","0,31","13,55","0,34","12,38","4,18","3,66","13,17","13,52","15,50%","12,50%","27,04%","24,86%","27,15%","29,20%",,"13,60%","491,11%","109,10%","0,14","0,18","0,00","1,32","1,21","0,81","0,49","0,55",5 541 000,"0,64",-196 000,"-0,02","1,14","1,14","0,02","1,24","2,10","0,38","0,79","0,15","0,42","7,06",52,82,"5,56",66,"1,77","0,78","0,54",118,36,2025-05-01
FPO,2025/Q1,"-0,12",,"0,15","8,07","0,00",,"0,15","8,07","-0,08",,"1,27",,"7,10","8,55","-119,27%","235,97%",,,,,,"235,97%","-482,35%",,"2,30","-1,16","-0,15",,,"-1,69","2,30",,313 000,"0,79",158 000,"0,40",,,"0,03","0,16","0,50","0,03","0,47","-1,01","1,57",,,,,,,,,,,2025-05-01
FRO,2025/Q1,"21,96","1,64","3,56","10,12","36,71","0,98","4,70","7,66","8,37","4,30","42,30","1,15","7,66","9,00","16,19%","9,55%","12,80%","9,69%","22,85%","11,83%",,"12,62%","253,36%","-9,34%","0,40","0,69","0,07","2,74","1,70","0,63","0,64","1,02",282 998 000,"2,41",133 758 000,"1,14","1,59","1,70","0,13","0,72","1,74","0,13","0,59","0,27","0,36","4,93",74,131,"2,31",158,"1,68","2,64","1,03",232,101,2025-05-01
FRW,2025/Q1,"18,75","2,28","4,78","8,93","18,08","2,36","4,61","9,25","20,88","2,04","34,24","1,89","6,92","7,42","25,52%","20,91%","25,52%","26,46%","37,86%","26,16%",,"20,17%","141,60%","66,67%","0,05","0,06",,,,,"0,05","1,11",-7 793 000,"-1,50",-8 913 000,"-1,71","21,66","21,66","7,47","7,43","19,44","7,53","2,54","0,91","1,92","7,55",48,33,"1,12",327,"0,92","22,90","0,89",375,342,2025-05-01
FSG,2025/Q1,"56,44","0,22","3,50","3,57","83,74","0,15","8,23","1,52","16,30","0,77","32,92","0,39","2,75","4,00","6,21%","3,20%","9,83%","4,18%","10,48%","5,92%","40,95%","7,53%","211,22%","100,70%","0,43","0,83","0,08","7,77","1,32","0,56","0,74","0,90",135 872 000,"3,65",63 442 000,"1,70","1,22","1,32","0,06","0,68","1,50","0,07","0,60","0,19","0,46","3,55",103,167,"1,53",239,"1,42","1,80","0,80",342,175,2025-05-01
FTE,2024/Q3,"38,06","0,71","1,27","21,49","43,69","0,62","1,56","17,47","0,39","69,10","38,65","0,88","9,93","24,83","3,32%","2,06%","3,56%","2,90%","3,94%","2,27%","33,79%","2,53%","32,16%","8,43%","0,38","0,61","0,37","2,30","1,38","0,85","0,98","0,99",452 301 000,"4,85",274 071 000,"2,94","1,01","1,38","0,47","1,65","2,55","0,47","1,17","0,23","0,54","4,06",90,119,"3,49",105,"2,03","1,12","0,72",195,76,2024-11-01
FTH,2025/Q1,"0,15","0,51","0,00","46,43","0,19","0,40","0,01","8,81","0,06","1,22","0,13","0,72","6,36","15,80","1,10%","0,42%","4,56%","0,87%","3,53%","1,94%",,"2,23%","2,72%","115,47%","0,62","1,61","0,07","3,58","1,84","0,41","0,79","1,36",16 946 000,"10,97",4 347 000,"2,81","1,71","1,83","0,00","0,46","1,32","0,02","0,43","0,19","0,43","1,93",189,360,"1,35",270,"0,79","1,61","0,53",459,99,2025-05-01
FTL,2025/Q1,"-0,04",,"-0,01",,"0,00",,"-0,01",,"-0,04",,"0,43",,"-39,00","-39,00","29,89%","-315,15%",,,,,,"-278,79%","78,79%",,"11,55","-1,09",,,,,"11,55",,381 000,"-4,14",361 000,"-3,92",,,,"0,09","0,09",,"0,09","-10,55",,,,,,,,,,,,2025-05-01
FVE,2024/Q4,"0,06","10,02","0,02","35,83","0,24","2,56","0,03","23,81","0,06","11,00","0,65","2,66","19,40","24,78","27,97%","14,63%","10,74%","7,14%","12,41%","6,69%",,"22,02%","897,67%","240,00%","0,42","0,81",,,,,"0,47","2,43",1 086 000,"1,46",566 000,"0,76","5,17","5,17","0,01","0,86","2,13","0,03","0,68","0,48","0,27","5,06",72,119,"3,63",100,"1,54","16,73","1,41",172,53,2025-02-01
GAL,2025/Q1,"2,13","0,62","-0,38",,"4,24","0,31","-0,35",,"0,02","77,65","1,80","0,42","-84,76","-5,09","-17,75%","-10,11%","-8,34%","-8,91%","-7,85%","-9,09%",,"-9,45%","246,82%",,"0,39","0,69","0,19","4,40","1,19","0,68","0,99","0,94",4 192 000,"-49,32",1 925 000,"-22,65","0,95","1,12","0,40","0,94","1,39","0,40","0,65","0,11","0,10","7,39",49,77,"13,49",27,"3,09","1,86","1,16",76,-1,2025-05-01
GAR,2025/Q1,"0,01","181,41","-0,01",,"0,00",,"-0,01",,"0,01","181,41","1,35",,"-189,40","-189,40","-96,09%","-30,00%",,,,,,"-30,00%","424,14%",,"0,69","2,20",,,,,"0,69",,278 000,"-2,26",76 000,"-0,62",,,"0,01","1,45","1,45","0,01","1,44","0,31","1,04",,,,,,,,,,,2025-05-01
GDC,2025/Q1,"0,02","1,96","-0,07",,"0,01","6,33","-0,07",,"0,01","5,42","0,06","7,56","-1,01","-0,83","-283,17%","-166,88%","-908,94%","-915,92%","13,10%","-915,92%",,"-165,60%","-106 163,64%",,"0,34","0,58",,,,,"0,62","0,82",2 377 000,"-0,25",1 572 000,"-0,16","1,33","1,33","0,01","-0,09","1,62","0,01","0,09","0,21","-1,59","4,62",79,539,"0,31",1 196,"0,32","0,15","0,10",1 275,736,2025-05-01
GEA,2025/Q1,"3,76","0,68","0,58","4,40","3,28","0,78","0,52","4,99","1,12","2,29","2,81","0,86","2,96","5,45","15,55%","8,66%","15,72%","17,84%","20,18%","18,64%","35,10%","7,63%","32,68%","76,31%","0,41","0,74","0,45","1,20","1,91","0,81","0,71","0,94",656 000 000,"1,20",136 000 000,"0,25","1,32","1,91","1,49","2,67","3,64","1,52","1,09","0,42","1,67","2,95",124,102,"2,00",182,"0,87","1,13","0,49",306,204,2025-05-01
GEN,2025/Q1,"7,71","3,37","1,48","17,55","18,37","1,42","1,50","17,36","6,27","4,15","22,37","1,22","10,77","14,94","19,23%","16,66%","8,15%","8,07%","8,83%","8,54%",,"16,84%","92,14%",,"0,10","0,12",,,,,"0,13","0,57",-3 585 000,"-1,31",-4 790 000,"-1,75","4,49","4,49","3,98","6,19","7,87","3,98","2,45","0,70","0,39","12,14",30,17,"11,56",32,"3,00","9,70","2,29",62,45,2025-05-01
GHY,2025/Q1,"0,68","3,32","-0,08",,"0,03","87,13","-0,08",,"-0,19",,"2,28","87,87","-31,43","-30,35","-12,05%","-9,13%","-289,47%","-316,78%","-292,43%","-322,70%",,"-8,34%","197,34%",,"0,24","0,32","0,03","0,59","0,80","0,78","9,64","7,48",2 516 000,"-2,96",225 000,"-0,26","0,78","0,80","0,00","0,09","0,11","0,00","0,09","-0,19","-1,75","1,23",296,2 564,"176,74",2,"0,94","0,03","0,03",298,-2 266,2025-05-01
GIF,2025/Q1,"2,17","5,01","-1,55",,"0,54","19,97","-1,26",,"-0,64",,"10,75","19,78","-11,07","-8,52","-71,76%","-47,63%","-232,07%","-286,10%","-86,25%","-292,16%",,"-38,64%","-165,42%","183,29%","0,33","0,50","0,43","0,09","1,10","0,95","2,45","1,88",4 641 000,"-0,79",-619 000,"0,10","0,77","1,10","1,10","3,00","3,00","2,14","0,86","0,09","0,41","2,93",124,268,"0,76",480,"0,24","0,35","0,14",604,336,2025-05-01
GIG,2025/Q1,"0,41","4,39","-0,00",,"3,29","0,55","0,02","116,07","-0,02",,"1,96","0,59","44,93","125,22","-0,06%","-0,02%","0,47%","-0,01%","-0,58%","0,48%",,"1,24%","0,10%","18,46%","0,67","2,04","0,12","1,32","1,08","0,37","1,02","0,98",103 322 000,"15,02",22 569 000,"3,28","0,96","1,08","0,24","1,04","1,04","0,24","0,74","0,03","0,01","5,20",70,89,,,"3,66","7,67","2,48",,,2025-05-01
GKI,2025/Q1,"1,44","1,58","-0,98",,"11,48","0,20","0,93","2,45","-4,36",,"7,47","0,65","4,80","8,07","-68,34%","-8,58%","8,07%","-8,55%","7,95%","5,06%","21,07%","8,10%","-129,68%","603,66%","0,80","6,36","2,65","1,26","0,79","0,46","1,91","0,41",676 613 000,"5,77",391 591 000,"3,34","0,22","0,79","0,03","0,45","0,90","0,03","0,42","-0,05","-0,07","4,96",74,186,"3,59",102,"2,18","1,64","0,94",176,-10,2025-05-01
GKS,2025/Q1,"-0,00",,"-0,08",,"0,20","0,65","-0,08",,"0,14","0,92","0,09","0,46","-1,25","-1,19","3 856,99%","-35,24%","-39,01%","-39,89%","-139,96%","-39,90%","-127,27%","-34,46%","29,63%","30,46%","0,29","-31,98","-4,57","0,31","8,48","0,03","0,32","-0,03",2 724 000,"-0,39",-3 397 000,"0,49","-0,10","0,37","0,64","0,69","3,64","0,65","2,85","0,66","0,33","2,14",170,103,"89,51",4,"1,57","11,89","1,38",174,71,2025-05-01
GME,2025/Q1,"55,56","0,78","0,28","155,60","57,17","0,76","1,24","34,87","-3,71",,"42,24","0,74","7,79","34,09","0,50%","0,31%","2,17%","0,49%","2,89%","1,41%","47,65%","1,38%","4,80%","116,55%","0,36","0,59","0,18","0,77","1,07","0,73","1,13","1,03",46 525 000,"4,79",-1 714 000,"-0,18","0,91","1,07","0,29","1,26","1,27","0,29","0,98","0,07","0,24","2,75",133,126,"128,61",3,"2,12","0,94","0,65",136,10,2025-05-01
GMT,2025/Q1,"1,02","7,72","-0,79",,"0,16","48,71","-0,78",,"0,48","16,40","7,09","43,85","-11,48","-9,14","-77,48%","-49,18%","-479,79%","-488,77%","-479,92%","-485,70%","-105,82%","-48,28%","90,29%","2,72%","0,37","0,58","0,24","0,70","2,34","0,78","0,55","1,04",-5 109 000,"0,56",-11 684 000,"1,27","1,89","2,34","2,69","3,08","3,08","2,69","0,21","0,45","4,13","2,13",171,828,,,"0,20","0,28","0,12",,,2025-05-01
GMV,2025/Q1,"4,79","3,38","2,88","5,61","9,28","1,74","3,44","4,69","4,24","3,81","12,97","1,40","3,29","3,77","60,15%","57,45%","37,09%","31,01%","37,09%","35,24%",,"68,73%","100,88%",,"0,02","0,02",,,,,"0,02","0,17",-5 737 000,"-0,78",-5 927 000,"-0,81","7,16","7,16","31,19","41,41","42,62","31,19","11,26","0,85","0,79","7,50",49,8,"2 562,59",0,"1,75","11,40","1,52",,,2025-05-01
GMZ,2025/Q1,"0,08","4,59","-0,01",,"0,00","830,80","-0,01",,"0,08","4,55","0,39","830,30","-41,78","-41,78","-16,83%","-10,63%","-1 987,50%","-3 050,00%","-1 918,75%","-3 050,00%",,"-6,93%","192,13%",,"0,36","0,58",,,,,"0,36",,-2 837 000,"8,92",-8 000,"0,03",,,"0,00","2,73","2,75","2,70","0,03","0,64","9,04","0,35",1 032,34 863,,,"0,00",,"0,00",,,2025-05-01
GNG,2023/Q1,"0,14","2,27","0,00","69,91","0,18","1,80","0,01","26,78","0,03","9,82","0,38","2,16","16,58","32,14","3,24%","1,53%","6,71%","2,57%","6,18%","2,33%","16,67%","3,99%","10,77%","98,18%","0,49","1,04","0,07","6,23","1,35","0,50","0,82","0,96",13 827 000,"6,16",6 208 000,"2,76","1,17","1,25","0,01","1,21","1,31","0,03","0,15","0,14","0,31","4,99",73,277,"181,03",2,"0,93","1,56","0,58",75,-202,2023-05-01
GOB,2025/Q1,"20,79","1,20","0,31","81,65","135,00","0,18","1,49","16,73","-9,40",,"38,03","0,28","10,43","25,55","1,47%","0,59%","1,10%","0,23%","0,92%","0,34%","9,33%","2,87%","7,51%","99,81%","0,60","1,50","0,50","2,31","1,03","0,60","1,43","0,99",807 691 000,"7,96",365 079 000,"3,60","0,69","1,03","0,10","0,81","1,05","0,10","0,65","0,02","0,01","10,17",36,55,"25,26",14,"6,23","4,68","2,67",50,-5,2025-05-01
GOL,2024/Q1,"-0,01",,"-0,02",,"0,00",,"-0,02",,"-0,02",,"0,19",,"-48,14","-11,63","247,22%","-32,01%",,,,,,"-32,01%",,,"0,84","-6,49","-0,74","1,91","0,46","-0,03","1,88","-0,44",467 000,"-10,86",27 000,"-0,63","-0,23","-0,06",,"0,20","0,60",,"0,59","-0,30","-1,16",,,,"46,17",8,,,,,,2024-05-01
GOP,2025/Q1,"5,47","3,18","2,47","7,03","5,37","3,24","2,69","6,47","4,10","4,25","14,98","2,79","5,32","5,57","45,20%","39,61%","50,09%","46,08%","52,78%","49,76%",,"43,06%","123,08%","36,27%","0,12","0,14","0,05","2,15","4,16","0,92","0,16","0,63",-9 675 000,"-0,62",-13 332 000,"-0,86","3,98","4,16","4,71","6,62","9,40","4,89","1,73","0,70","1,81","6,12",60,57,"2,06",177,"1,10","4,54","0,89",237,180,2025-05-01
GOV,2024/Q1,"0,49","0,59","-0,02",,"0,20","1,44","-0,02",,"0,22","1,31","0,29","1,48","16,26","-14,87","-3,65%","-2,84%","-9,97%","-8,94%","-12,33%","-8,48%","26,67%","-3,16%","-40,79%","97,36%","0,14","0,18",,,,,"0,29","0,44",752 000,"1,66",236 000,"0,52","1,52","1,52","0,02","1,04","3,46","0,66","0,95","0,35","2,02","2,24",163,174,"0,91",403,"0,70","0,61","0,33",566,392,2024-05-01
GPP,2025/Q1,"7,03","8,26","3,09","18,81","11,41","5,09","4,48","12,97","-3,47",,"57,71","5,06","11,50","12,88","43,92%","19,05%","39,26%","27,08%","39,22%","35,37%",,"27,62%","70,70%","39,72%","0,57","1,31","0,42","0,20","0,95","0,61","1,61","1,08",344 785 000,"1,01",-26 763 000,"-0,08","0,67","0,95","0,63","0,91","0,91","0,66","0,18","-0,03","-0,08","11,16",33,207,"133,59",3,"2,27","1,06","0,73",36,-171,2025-05-01
GPW,2025/Q1,"26,61","1,70","4,10","11,06","11,41","3,97","2,75","16,51","6,82","6,65","42,34","3,71","12,01","15,41","15,40%","12,14%","24,08%","35,92%","32,23%","42,08%",,"8,14%","109,47%","805,62%","0,21","0,26","0,09","1,42","1,44","0,86","0,50","0,67",-164 634 000,"-1,11",-126 226 000,"-0,85","1,33","1,44","0,78","2,95","2,95","2,33","0,62","0,27","1,31","4,81",76,145,,,"0,90","0,59","0,36",,,2025-05-01
GRC,2025/Q1,"40,45","1,76","5,51","12,89","79,48","0,89","9,52","7,46","-37,37",,"115,91","1,46","7,75","12,17","13,61%","4,32%","11,98%","6,93%","9,45%","8,54%",,"7,48%","49,58%","87,18%","0,51","1,60","0,83","2,84","0,96","0,58","2,37","0,96",104 371 000,"4,12",76 140 000,"3,00","0,40","0,74","0,10","0,07","0,88","0,10","0,64","-0,03","-0,06","4,31",85,121,"29,83",12,"3,39","0,81","0,66",97,-24,2025-05-01
GRE,2023/Q4,"-0,01",,"0,02","19,58","0,00","9 690,69","0,02","17,68","-0,01",,"0,39","9 690,69","17,68","17,68","-210,64%","727,94%","54 800,00%","49 500,00%","-1 300,00%","54 800,00%",,"805,88%",,,"4,46","-1,29",,,,,"4,46",,303 000,"0,55",,,,,,"0,22","0,22",,"0,22","-3,46","-16,79","0,01",24 546,122 823,,,"0,01",,"0,01",,,2024-02-01
GRM,2025/Q1,"2,34","0,49","0,10","11,79","0,02","45,70","-0,04",,"-0,05",,"1,08","43,38","-30,79","-30,17","4,13%","3,84%","-143,81%","387,62%","-139,74%","387,46%",,"-1,42%","-24,34%",,"0,07","0,08","0,07","0,01","1,05","1,00","1,38","1,35",2 186 000,"-2,53",-1 421 000,"1,64","0,98","1,05","6,44","11,73","11,76","8,30","1,95","0,05","2,04","1,04",351,209,"210,29",2,"0,07","0,01","0,01",353,144,2025-05-01
GRN,2024/Q3,"8,72","1,03","-1,26",,"77,58","0,12","-0,83",,"-1,47",,"17,75","0,23","-122,00","-21,40","-14,48%","-4,07%","-1,07%","-1,63%","0,38%","-1,81%",,"-2,67%","-69,53%","158,78%","0,72","2,56","0,20","4,61","1,02","0,34","1,07","0,92",339 562 000,"-151,73",135 060 000,"-60,35","0,86","1,02","0,01","0,58","1,01","0,01","0,57","0,01","0,00","6,48",56,104,"7,07",52,"3,35","7,76","2,34",108,4,2024-11-01
GRX,2023/Q4,"0,22","10,88","-0,07",,"0,01","365,34","-0,07",,"0,08","31,08","2,28","350,11","-37,12","-34,67","-30,05%","-26,46%","-1 009,76%","-1 009,31%","-1 101,55%","-1 009,76%",,"-26,47%","130,43%","1 265,12%","0,12","0,14","0,02","34,86","1,57","0,90","0,28","0,43",-20 623 680,"1,20",-27 695 808,"1,61","1,54","1,57","4,03","4,14","4,14","4,03","0,10","0,32","1,09","2,42",151,1 440,,,"0,06","0,05","0,03",,,2024-02-01
GTC,2025/Q1,"8,22","0,47","0,32","12,16","1,43","2,72","0,74","5,25","-12,75",,"15,44","10,82","20,58","20,87","3,88%","1,39%","51,83%","22,36%","57,03%","26,65%","68,18%","3,23%","48,48%","153,55%","0,63","1,74","1,51","0,01","0,97","0,90","9,12","3,51",7 645 500 000,"17,75",6 636 900 000,"15,41","0,39","0,97","0,25","0,84","0,84","0,54","0,27","-0,01","-0,69","2,56",142,497,,,"0,87","0,07","0,07",,,2025-05-01
GTF,2025/Q1,"-1,00",,"0,04","336,41","0,62","21,92","0,05","280,34","-0,93",,"13,47","21,87","291,88","279,72","-4,02%","17,39%","7,82%","6,51%","-35,18%","6,51%",,"20,87%","-111,11%",,"5,03","-1,16",,,,,"5,03",,563 000,"24,48",-15 000,"-0,65",,,"0,03","0,14","0,20","0,03","0,06","-4,03","-1,11","3,70",99,735,,,"2,15",,"2,15",,,2025-05-01
GTN,2025/Q1,"0,93","0,69","0,71","0,91","-0,38",,"-0,04",,,,,,,,"75,97%","19,22%","10,92%","-184,11%",,,,"-1,14%","776,28%",,"0,75","2,95",,,,,,,521 015 000,"305,04",,,,,,,,,,,,"-2,01",-182,-2 520,,,,,"-0,12",,,2025-05-01
GTS,2025/Q1,"6,22","1,31","0,82","9,95","3,95","2,07","0,90","9,07","3,12","2,62","6,37","1,61","6,09","7,07","13,18%","12,29%","22,78%","20,76%","23,63%","26,09%",,"13,48%","138,94%","537,63%","0,05","0,05","0,01","57,68","1,97","0,94","0,09","0,18",-7 349 000,"-1,41",-8 973 000,"-1,72","1,93","1,94","6,28","9,34","12,06","6,28","3,07","0,47","1,10","5,86",62,22,"12,42",29,"1,15","1,32","0,61",91,69,2025-05-01
GX1,2025/Q1,"3,12","1,82","-1,15",,"0,57","9,93","-1,24",,"1,90","2,99","4,20","7,35","-4,91","-3,39","-36,72%","-34,84%","-216,87%","-200,37%","-186,41%","-200,26%",,"-37,71%","165,53%",,"0,04","0,04",,,,,"0,07","0,16",-4 438 000,"1,57",-4 878 000,"1,72","2,48","2,48","11,09","14,61","15,25","11,09","0,45","0,58","1,51","4,02",91,80,"38,89",9,"0,26","0,37","0,15",100,20,2025-05-01
HDR,2025/Q1,"48,24","0,48","-4,73",,"46,68","0,50","-4,90",,"4,34","5,37","36,39","0,78","83,76","-7,43","-9,80%","-6,10%","-10,50%","-10,13%","-13,19%","-11,82%","1,52%","-6,32%","-150,92%","21,73%","0,38","0,61","0,21","4,28","1,33","0,75","0,87","0,95",68 380 000,"65,62",31 400 000,"30,13","1,10","1,33","0,04","0,78","1,76","0,04","0,74","0,19","0,36","3,58",102,144,"2,28",160,"1,38","1,06","0,60",262,118,2025-05-01
